2015.02.25 12:26:30.111 | CPU ?? RAM 35 | INFO     | Thread 6404  | project_globals      | Debug                | PyCMDS is in debug mode
2015.02.25 12:26:30.112 | CPU ?? RAM 35 | INFO     | Thread 6404  | PyCMDS_ui            | Startup              | PyCMDS is attempting startup
2015.02.25 12:26:31.065 | CPU ?? RAM 35 | INFO     | Thread 2688  | daq                  | DAQ initializing     | 
2015.02.25 12:26:31.088 | CPU ?? RAM 35 | INFO     | Thread 7228  | InGaAs               | InGaAs initializing  | 
2015.02.25 12:26:31.494 | CPU ?? RAM 35 | INFO     | Thread 3832  | MicroHR              | MicroHR initializing | 
2015.02.25 12:26:31.509 | CPU ?? RAM 35 | INFO     | Thread 6404  | PyCMDS_ui            | Startup              | PyCMDS MainWindow __init__ finished
2015.02.25 12:26:44.476 | CPU 10 RAM 36 | INFO     | Thread 6404  | PyCMDS_ui            | Shutdown             | PyCMDS is attempting shutdown
2015.02.25 12:26:44.482 | CPU 10 RAM 36 | INFO     | Thread 6404  | InGaAs               | InGaAs shutdown      | 
2015.02.25 12:26:44.490 | CPU 10 RAM 36 | INFO     | Thread 6404  | daq                  | DAQ shutdown         | 
2015.02.25 12:26:44.542 | CPU 10 RAM 36 | INFO     | Thread 6404  | MicroHR              | MicroHR shutdown     | 
