2015.02.26 10:13:15.869 | CPU ?? RAM 38 | INFO     | Thread 8032  | project_globals      | Debug                | PyCMDS is in debug mode
2015.02.26 10:13:15.871 | CPU ?? RAM 38 | INFO     | Thread 8032  | PyCMDS_ui            | Startup              | PyCMDS is attempting startup
2015.02.26 10:13:16.864 | CPU ?? RAM 38 | INFO     | Thread 5680  | daq                  | DAQ initializing     | 
2015.02.26 10:13:16.973 | CPU ?? RAM 38 | INFO     | Thread 6176  | InGaAs               | InGaAs initializing  | 
2015.02.26 10:13:17.282 | CPU ?? RAM 38 | INFO     | Thread 3092  | MicroHR              | MicroHR initializing | 
2015.02.26 10:13:17.351 | CPU ?? RAM 39 | INFO     | Thread 8032  | PyCMDS_ui            | Startup              | PyCMDS MainWindow __init__ finished
2015.02.26 10:13:29.711 | CPU 49 RAM 39 | INFO     | Thread 8032  | PyCMDS_ui            | Shutdown             | PyCMDS is attempting shutdown
2015.02.26 10:13:29.714 | CPU 49 RAM 39 | INFO     | Thread 8032  | InGaAs               | InGaAs shutdown      | 
2015.02.26 10:13:29.786 | CPU 49 RAM 39 | INFO     | Thread 8032  | daq                  | DAQ shutdown         | 
2015.02.26 10:13:29.796 | CPU 49 RAM 39 | INFO     | Thread 8032  | MicroHR              | MicroHR shutdown     | 
