2015.02.25 15:11:20.516 | CPU ?? RAM 38 | INFO     | Thread 7364  | project_globals      | Debug                | PyCMDS is in debug mode
2015.02.25 15:11:20.523 | CPU ?? RAM 38 | INFO     | Thread 7364  | PyCMDS_ui            | Startup              | PyCMDS is attempting startup
2015.02.25 15:11:21.454 | CPU ?? RAM 39 | INFO     | Thread 5264  | InGaAs               | InGaAs initializing  | 
2015.02.25 15:11:21.454 | CPU ?? RAM 39 | INFO     | Thread 5264  | InGaAs               | InGaAs initializing  | 
2015.02.25 15:11:21.456 | CPU ?? RAM 39 | INFO     | Thread 4040  | daq                  | DAQ initializing     | 
2015.02.25 15:11:21.973 | CPU ?? RAM 39 | INFO     | Thread 7792  | MicroHR              | MicroHR initializing | 
2015.02.25 15:11:22.002 | CPU ?? RAM 39 | INFO     | Thread 7364  | PyCMDS_ui            | Startup              | PyCMDS MainWindow __init__ finished
2015.02.25 15:12:04.494 | CPU 07 RAM 39 | INFO     | Thread 7364  | PyCMDS_ui            | Shutdown             | PyCMDS is attempting shutdown
2015.02.25 15:12:04.500 | CPU 07 RAM 39 | INFO     | Thread 7364  | InGaAs               | InGaAs shutdown      | 
2015.02.25 15:12:04.523 | CPU 07 RAM 39 | INFO     | Thread 7364  | daq                  | DAQ shutdown         | 
2015.02.25 15:12:04.555 | CPU 07 RAM 39 | INFO     | Thread 7364  | MicroHR              | MicroHR shutdown     | 
