2015.02.26 11:59:05.803 | CPU ?? RAM 38 | INFO     | Thread 4136  | project_globals      | Debug                | PyCMDS is in debug mode
2015.02.26 11:59:05.805 | CPU ?? RAM 38 | INFO     | Thread 4136  | PyCMDS_ui            | Startup              | PyCMDS is attempting startup
2015.02.26 11:59:06.836 | CPU ?? RAM 38 | INFO     | Thread 8120  | InGaAs               | InGaAs initializing  | 
2015.02.26 11:59:06.953 | CPU ?? RAM 38 | INFO     | Thread 3524  | daq                  | DAQ initializing     | 
2015.02.26 11:59:07.138 | CPU ?? RAM 38 | INFO     | Thread 4136  | PyCMDS_ui            | Startup              | PyCMDS MainWindow __init__ finished
2015.02.26 11:59:07.296 | CPU ?? RAM 38 | INFO     | Thread 7224  | MicroHR              | MicroHR initializing | 
2015.02.26 12:03:54.838 | CPU 55 RAM 38 | INFO     | Thread 4136  | PyCMDS_ui            | Shutdown             | PyCMDS is attempting shutdown
2015.02.26 12:03:54.842 | CPU 55 RAM 38 | INFO     | Thread 4136  | InGaAs               | InGaAs shutdown      | 
2015.02.26 12:03:54.911 | CPU 55 RAM 38 | INFO     | Thread 4136  | daq                  | DAQ shutdown         | 
2015.02.26 12:03:54.921 | CPU 55 RAM 38 | INFO     | Thread 4136  | MicroHR              | MicroHR shutdown     | 
