2015.03.23 15:09:35.994 | CPU ?? RAM 73 | INFO     | Thread 1412  | project_globals      | Debug                | PyCMDS is in debug mode
2015.03.23 15:09:36.036 | CPU ?? RAM 73 | INFO     | Thread 1412  | project_globals      | Offline              | PyCMDS is offline
2015.03.23 15:09:36.042 | CPU ?? RAM 73 | INFO     | Thread 1412  | PyCMDS_ui            | Startup              | PyCMDS is attempting startup
2015.03.23 15:09:36.342 | CPU ?? RAM 74 | INFO     | Thread 2792  | InGaAs               | InGaAs initializing  | 
2015.03.23 15:09:36.342 | CPU ?? RAM 74 | INFO     | Thread 2792  | InGaAs               | InGaAs initializing  | 
2015.03.23 15:09:36.344 | CPU ?? RAM 74 | INFO     | Thread 1496  | daq                  | DAQ initializing     | 
2015.03.23 15:09:36.344 | CPU ?? RAM 74 | INFO     | Thread 1496  | daq                  | DAQ initializing     | 
2015.03.23 15:09:36.457 | CPU ?? RAM 74 | INFO     | Thread 2288  | delays               | MicroHR initializing | 
2015.03.23 15:09:36.464 | CPU ?? RAM 74 | INFO     | Thread 6708  | spectrometers        | MicroHR initializing | 
2015.03.23 15:09:36.483 | CPU ?? RAM 74 | INFO     | Thread 1412  | PyCMDS_ui            | Startup              | PyCMDS MainWindow __init__ finished
2015.03.23 15:09:46.533 | CPU ?? RAM 74 | INFO     | Thread 1412  | PyCMDS_ui            | Shutdown             | PyCMDS is attempting shutdown
2015.03.23 15:09:46.539 | CPU ?? RAM 74 | INFO     | Thread 1412  | InGaAs               | InGaAs shutdown      | 
2015.03.23 15:09:56.586 | CPU 07 RAM 74 | WARNING  | Thread 1412  | InGaAs               | wait until done timed out | timeout set to 10 seconds
2015.03.23 15:09:56.667 | CPU 07 RAM 74 | INFO     | Thread 1412  | daq                  | DAQ shutdown         | 
2015.03.23 15:09:56.676 | CPU 07 RAM 74 | INFO     | Thread 1412  | delays               | MicroHR shutdown     | 
2015.03.23 15:09:56.684 | CPU 07 RAM 74 | INFO     | Thread 1412  | spectrometers        | MicroHR shutdown     | 
