2015.02.25 16:40:03.878 | CPU ?? RAM 37 | INFO     | Thread 4712  | project_globals      | Debug                | PyCMDS is in debug mode
2015.02.25 16:40:03.881 | CPU ?? RAM 37 | INFO     | Thread 4712  | PyCMDS_ui            | Startup              | PyCMDS is attempting startup
2015.02.25 16:40:04.836 | CPU ?? RAM 38 | INFO     | Thread 2016  | daq                  | DAQ initializing     | 
2015.02.25 16:40:04.836 | CPU ?? RAM 38 | INFO     | Thread 2016  | daq                  | DAQ initializing     | 
2015.02.25 16:40:04.836 | CPU ?? RAM 38 | INFO     | Thread 8000  | daq                  | DAQ initializing     | 
2015.02.25 16:40:05.115 | CPU ?? RAM 38 | INFO     | Thread 812   | MicroHR              | MicroHR initializing | 
2015.02.25 16:40:05.141 | CPU ?? RAM 38 | INFO     | Thread 4712  | PyCMDS_ui            | Startup              | PyCMDS MainWindow __init__ finished
2015.02.25 16:40:49.977 | CPU 50 RAM 38 | INFO     | Thread 4712  | PyCMDS_ui            | Shutdown             | PyCMDS is attempting shutdown
2015.02.25 16:40:49.982 | CPU 50 RAM 38 | INFO     | Thread 4712  | InGaAs               | InGaAs shutdown      | 
2015.02.25 16:40:50.019 | CPU 50 RAM 38 | INFO     | Thread 4712  | daq                  | DAQ shutdown         | 
2015.02.25 16:40:50.028 | CPU 50 RAM 38 | INFO     | Thread 4712  | MicroHR              | MicroHR shutdown     | 
