2015.02.26 10:44:41.309 | CPU ?? RAM 39 | INFO     | Thread 6240  | project_globals      | Debug                | PyCMDS is in debug mode
2015.02.26 10:44:41.311 | CPU ?? RAM 39 | INFO     | Thread 6240  | PyCMDS_ui            | Startup              | PyCMDS is attempting startup
2015.02.26 10:44:42.289 | CPU ?? RAM 39 | INFO     | Thread 6980  | daq                  | DAQ initializing     | 
2015.02.26 10:44:42.289 | CPU ?? RAM 39 | INFO     | Thread 6980  | daq                  | DAQ initializing     | 
2015.02.26 10:44:42.289 | CPU ?? RAM 39 | INFO     | Thread 4780  | daq                  | DAQ initializing     | 
2015.02.26 10:44:42.739 | CPU ?? RAM 40 | INFO     | Thread 6440  | MicroHR              | MicroHR initializing | 
2015.02.26 10:44:42.742 | CPU ?? RAM 40 | INFO     | Thread 6240  | PyCMDS_ui            | Startup              | PyCMDS MainWindow __init__ finished
2015.02.26 10:46:22.773 | CPU 100 RAM 42 | INFO     | Thread 6240  | PyCMDS_ui            | Shutdown             | PyCMDS is attempting shutdown
2015.02.26 10:46:22.779 | CPU 100 RAM 42 | INFO     | Thread 6240  | InGaAs               | InGaAs shutdown      | 
2015.02.26 10:46:22.868 | CPU 100 RAM 42 | INFO     | Thread 6240  | daq                  | DAQ shutdown         | 
2015.02.26 10:46:22.877 | CPU 100 RAM 42 | INFO     | Thread 6240  | MicroHR              | MicroHR shutdown     | 
