2015.02.25 11:03:21.831 | CPU ?? RAM 38 | INFO     | Thread 8188  | project_globals      | Debug                | PyCMDS is in debug mode
2015.02.25 11:03:21.832 | CPU ?? RAM 38 | INFO     | Thread 8188  | PyCMDS_ui            | Startup              | PyCMDS is attempting startup
2015.02.25 11:03:22.746 | CPU ?? RAM 38 | INFO     | Thread 7980  | daq                  | DAQ initializing     | 
2015.02.25 11:03:22.757 | CPU ?? RAM 38 | INFO     | Thread 5124  | InGaAs               | InGaAs initializing  | 
2015.02.25 11:03:23.191 | CPU ?? RAM 39 | INFO     | Thread 5264  | MicroHR              | MicroHR initializing | 
2015.02.25 11:03:23.201 | CPU ?? RAM 39 | INFO     | Thread 8188  | PyCMDS_ui            | Startup              | PyCMDS MainWindow __init__ finished
2015.02.25 11:03:29.513 | CPU ?? RAM 39 | INFO     | Thread 2860  | template             | Scan begun           | some info describing this scan
2015.02.25 11:03:39.519 | CPU 14 RAM 39 | WARNING  | Thread 2860  | MicroHR              | Wait until done timed out | timeout set to 10 seconds
2015.02.25 11:03:49.525 | CPU 13 RAM 39 | WARNING  | Thread 2860  | MicroHR              | Wait until done timed out | timeout set to 10 seconds
2015.02.25 11:03:59.529 | CPU 13 RAM 39 | WARNING  | Thread 2860  | MicroHR              | Wait until done timed out | timeout set to 10 seconds
2015.02.25 11:04:10.960 | CPU 31 RAM 39 | WARNING  | Thread 2860  | MicroHR              | Wait until done timed out | timeout set to 10 seconds
2015.02.25 11:04:10.967 | CPU 31 RAM 39 | INFO     | Thread 2860  | template             | Scan done            | some info describing this scan
2015.02.25 11:04:15.243 | CPU 44 RAM 39 | INFO     | Thread 8188  | PyCMDS_ui            | Shutdown             | PyCMDS is attempting shutdown
2015.02.25 11:04:15.246 | CPU 44 RAM 39 | INFO     | Thread 8188  | InGaAs               | InGaAs shutdown      | 
2015.02.25 11:04:15.256 | CPU 44 RAM 39 | INFO     | Thread 8188  | daq                  | DAQ shutdown         | 
2015.02.25 11:04:15.286 | CPU 44 RAM 39 | INFO     | Thread 8188  | MicroHR              | MicroHR shutdown     | 
2015.02.25 11:04:25.292 | CPU 44 RAM 39 | WARNING  | Thread 8188  | MicroHR              | Wait until done timed out | timeout set to 10 seconds
