2015.02.25 16:40:51.898 | CPU ?? RAM 37 | INFO     | Thread 3704  | project_globals      | Debug                | PyCMDS is in debug mode
2015.02.25 16:40:51.901 | CPU ?? RAM 37 | INFO     | Thread 3704  | PyCMDS_ui            | Startup              | PyCMDS is attempting startup
2015.02.25 16:40:52.839 | CPU ?? RAM 38 | INFO     | Thread 6780  | daq                  | DAQ initializing     | 
2015.02.25 16:40:52.841 | CPU ?? RAM 38 | INFO     | Thread 2548  | daq                  | DAQ initializing     | 
2015.02.25 16:40:52.841 | CPU ?? RAM 38 | INFO     | Thread 2548  | daq                  | DAQ initializing     | 
2015.02.25 16:40:53.131 | CPU ?? RAM 38 | INFO     | Thread 6972  | MicroHR              | MicroHR initializing | 
2015.02.25 16:40:53.138 | CPU ?? RAM 38 | INFO     | Thread 3704  | PyCMDS_ui            | Startup              | PyCMDS MainWindow __init__ finished
2015.02.25 16:41:21.664 | CPU 07 RAM 38 | INFO     | Thread 3704  | PyCMDS_ui            | Shutdown             | PyCMDS is attempting shutdown
2015.02.25 16:41:21.667 | CPU 07 RAM 38 | INFO     | Thread 3704  | InGaAs               | InGaAs shutdown      | 
2015.02.25 16:41:21.706 | CPU 07 RAM 38 | INFO     | Thread 3704  | daq                  | DAQ shutdown         | 
2015.02.25 16:41:21.720 | CPU 07 RAM 38 | INFO     | Thread 3704  | MicroHR              | MicroHR shutdown     | 
