2015.02.25 15:06:45.874 | CPU ?? RAM 38 | INFO     | Thread 7520  | project_globals      | Debug                | PyCMDS is in debug mode
2015.02.25 15:06:45.875 | CPU ?? RAM 38 | INFO     | Thread 7520  | PyCMDS_ui            | Startup              | PyCMDS is attempting startup
2015.02.25 15:06:46.849 | CPU ?? RAM 39 | INFO     | Thread 3504  | InGaAs               | InGaAs initializing  | 
2015.02.25 15:06:46.849 | CPU ?? RAM 39 | INFO     | Thread 3504  | InGaAs               | InGaAs initializing  | 
2015.02.25 15:06:46.854 | CPU ?? RAM 39 | INFO     | Thread 6176  | daq                  | DAQ initializing     | 
2015.02.25 15:06:47.177 | CPU ?? RAM 39 | INFO     | Thread 5576  | MicroHR              | MicroHR initializing | 
2015.02.25 15:06:47.198 | CPU ?? RAM 39 | INFO     | Thread 7520  | PyCMDS_ui            | Startup              | PyCMDS MainWindow __init__ finished
2015.02.25 15:06:49.983 | CPU ?? RAM 39 | INFO     | Thread 7520  | PyCMDS_ui            | Shutdown             | PyCMDS is attempting shutdown
2015.02.25 15:06:49.986 | CPU ?? RAM 39 | INFO     | Thread 7520  | InGaAs               | InGaAs shutdown      | 
2015.02.25 15:06:50.002 | CPU ?? RAM 39 | INFO     | Thread 7520  | daq                  | DAQ shutdown         | 
2015.02.25 15:06:50.036 | CPU ?? RAM 39 | INFO     | Thread 7520  | MicroHR              | MicroHR shutdown     | 
