2015.02.25 09:53:31.721 | CPU ?? RAM 34 | INFO     | Thread 6588  | project_globals      | Debug                | PyCMDS is in debug mode
2015.02.25 09:53:31.723 | CPU ?? RAM 34 | INFO     | Thread 6588  | PyCMDS_ui            | Startup              | PyCMDS is attempting startup
2015.02.25 09:53:32.670 | CPU ?? RAM 35 | INFO     | Thread 6788  | InGaAs               | InGaAs initializing  | 
2015.02.25 09:53:32.670 | CPU ?? RAM 35 | INFO     | Thread 6788  | InGaAs               | InGaAs initializing  | 
2015.02.25 09:53:32.670 | CPU ?? RAM 35 | INFO     | Thread 1468  | daq                  | DAQ initializing     | 
2015.02.25 09:53:33.076 | CPU ?? RAM 35 | INFO     | Thread 2028  | MicroHR              | MicroHR initializing | 
2015.02.25 09:53:33.094 | CPU ?? RAM 35 | INFO     | Thread 6588  | PyCMDS_ui            | Startup              | PyCMDS MainWindow __init__ finished
2015.02.25 09:53:34.201 | CPU ?? RAM 35 | INFO     | Thread 6588  | PyCMDS_ui            | Shutdown             | PyCMDS is attempting shutdown
2015.02.25 09:53:34.207 | CPU ?? RAM 35 | INFO     | Thread 6588  | InGaAs               | InGaAs shutdown      | 
2015.02.25 09:53:34.213 | CPU ?? RAM 35 | INFO     | Thread 6588  | daq                  | DAQ shutdown         | 
2015.02.25 09:53:34.243 | CPU ?? RAM 35 | INFO     | Thread 6588  | MicroHR              | OPAs shutdown        | 
