2015.02.25 20:29:56.173 | CPU ?? RAM 37 | INFO     | Thread 3504  | project_globals      | Debug                | PyCMDS is in debug mode
2015.02.25 20:29:56.174 | CPU ?? RAM 37 | INFO     | Thread 3504  | PyCMDS_ui            | Startup              | PyCMDS is attempting startup
2015.02.25 20:29:57.124 | CPU ?? RAM 38 | INFO     | Thread 7628  | daq                  | DAQ initializing     | 
2015.02.25 20:29:57.124 | CPU ?? RAM 38 | INFO     | Thread 7628  | daq                  | DAQ initializing     | 
2015.02.25 20:29:57.124 | CPU ?? RAM 38 | INFO     | Thread 6960  | daq                  | DAQ initializing     | 
2015.02.25 20:29:57.296 | CPU ?? RAM 38 | INFO     | Thread 3504  | PyCMDS_ui            | Startup              | PyCMDS MainWindow __init__ finished
2015.02.25 20:29:57.319 | CPU ?? RAM 38 | INFO     | Thread 4696  | MicroHR              | MicroHR initializing | 
2015.02.25 20:30:07.548 | CPU 53 RAM 38 | INFO     | Thread 3504  | PyCMDS_ui            | Shutdown             | PyCMDS is attempting shutdown
2015.02.25 20:30:07.551 | CPU 53 RAM 38 | INFO     | Thread 3504  | InGaAs               | InGaAs shutdown      | 
2015.02.25 20:30:07.628 | CPU 53 RAM 38 | INFO     | Thread 3504  | daq                  | DAQ shutdown         | 
2015.02.25 20:30:07.638 | CPU 53 RAM 38 | INFO     | Thread 3504  | MicroHR              | MicroHR shutdown     | 
