2015.02.25 17:13:14.763 | CPU ?? RAM 37 | INFO     | Thread 7848  | project_globals      | Debug                | PyCMDS is in debug mode
2015.02.25 17:13:14.766 | CPU ?? RAM 37 | INFO     | Thread 7848  | PyCMDS_ui            | Startup              | PyCMDS is attempting startup
2015.02.25 17:13:15.769 | CPU ?? RAM 38 | INFO     | Thread 2448  | daq                  | DAQ initializing     | 
2015.02.25 17:13:15.769 | CPU ?? RAM 38 | INFO     | Thread 2448  | daq                  | DAQ initializing     | 
2015.02.25 17:13:15.819 | CPU ?? RAM 38 | INFO     | Thread 2016  | InGaAs               | InGaAs initializing  | 
2015.02.25 17:13:16.063 | CPU ?? RAM 38 | INFO     | Thread 4188  | MicroHR              | MicroHR initializing | 
2015.02.25 17:13:16.085 | CPU ?? RAM 38 | INFO     | Thread 7848  | PyCMDS_ui            | Startup              | PyCMDS MainWindow __init__ finished
2015.02.25 19:27:28.002 | CPU 14 RAM 38 | INFO     | Thread 7848  | PyCMDS_ui            | Shutdown             | PyCMDS is attempting shutdown
2015.02.25 19:27:28.005 | CPU 14 RAM 38 | INFO     | Thread 7848  | InGaAs               | InGaAs shutdown      | 
2015.02.25 19:27:28.095 | CPU 14 RAM 38 | INFO     | Thread 7848  | daq                  | DAQ shutdown         | 
2015.02.25 19:27:28.115 | CPU 14 RAM 38 | INFO     | Thread 7848  | MicroHR              | MicroHR shutdown     | 
