2015.02.26 11:25:47.795 | CPU ?? RAM 38 | INFO     | Thread 6644  | project_globals      | Debug                | PyCMDS is in debug mode
2015.02.26 11:25:47.796 | CPU ?? RAM 38 | INFO     | Thread 6644  | PyCMDS_ui            | Startup              | PyCMDS is attempting startup
2015.02.26 11:25:48.826 | CPU ?? RAM 38 | INFO     | Thread 5360  | daq                  | DAQ initializing     | 
2015.02.26 11:25:48.826 | CPU ?? RAM 38 | INFO     | Thread 5360  | daq                  | DAQ initializing     | 
2015.02.26 11:25:48.826 | CPU ?? RAM 38 | INFO     | Thread 1076  | daq                  | DAQ initializing     | 
2015.02.26 11:25:49.276 | CPU ?? RAM 38 | INFO     | Thread 6892  | MicroHR              | MicroHR initializing | 
2015.02.26 11:25:49.292 | CPU ?? RAM 38 | INFO     | Thread 6644  | PyCMDS_ui            | Startup              | PyCMDS MainWindow __init__ finished
2015.02.26 11:25:55.845 | CPU ?? RAM 39 | INFO     | Thread 6644  | PyCMDS_ui            | Shutdown             | PyCMDS is attempting shutdown
2015.02.26 11:25:55.851 | CPU ?? RAM 39 | INFO     | Thread 6644  | InGaAs               | InGaAs shutdown      | 
2015.02.26 11:25:55.951 | CPU ?? RAM 39 | INFO     | Thread 6644  | daq                  | DAQ shutdown         | 
2015.02.26 11:25:55.960 | CPU ?? RAM 39 | INFO     | Thread 6644  | MicroHR              | MicroHR shutdown     | 
