2015.02.26 16:21:17.420 | CPU ?? RAM 42 | INFO     | Thread 4924  | project_globals      | Debug                | PyCMDS is in debug mode
2015.02.26 16:21:17.421 | CPU ?? RAM 42 | INFO     | Thread 4924  | PyCMDS_ui            | Startup              | PyCMDS is attempting startup
2015.02.26 16:21:19.397 | CPU ?? RAM 42 | INFO     | Thread 5324  | InGaAs               | InGaAs initializing  | 
2015.02.26 16:21:19.397 | CPU ?? RAM 42 | INFO     | Thread 5324  | InGaAs               | InGaAs initializing  | 
2015.02.26 16:21:19.398 | CPU ?? RAM 42 | INFO     | Thread 5500  | daq                  | DAQ initializing     | 
2015.02.26 16:21:19.608 | CPU ?? RAM 42 | INFO     | Thread 2152  | delays               | MicroHR initializing | 
2015.02.26 16:21:19.709 | CPU ?? RAM 42 | INFO     | Thread 2428  | spectrometers        | MicroHR initializing | 
2015.02.26 16:21:19.796 | CPU ?? RAM 42 | INFO     | Thread 4924  | PyCMDS_ui            | Startup              | PyCMDS MainWindow __init__ finished
2015.02.26 16:21:23.930 | CPU ?? RAM 42 | INFO     | Thread 4924  | PyCMDS_ui            | Shutdown             | PyCMDS is attempting shutdown
2015.02.26 16:21:23.934 | CPU ?? RAM 42 | INFO     | Thread 4924  | InGaAs               | InGaAs shutdown      | 
2015.02.26 16:21:24.075 | CPU ?? RAM 42 | INFO     | Thread 4924  | daq                  | DAQ shutdown         | 
2015.02.26 16:21:24.085 | CPU ?? RAM 42 | INFO     | Thread 4924  | delays               | MicroHR shutdown     | 
2015.02.26 16:21:24.095 | CPU ?? RAM 42 | INFO     | Thread 4924  | spectrometers        | MicroHR shutdown     | 
