2015.02.25 15:13:38.371 | CPU ?? RAM 38 | INFO     | Thread 6376  | project_globals      | Debug                | PyCMDS is in debug mode
2015.02.25 15:13:38.380 | CPU ?? RAM 38 | INFO     | Thread 6376  | PyCMDS_ui            | Startup              | PyCMDS is attempting startup
2015.02.25 15:13:39.381 | CPU ?? RAM 39 | INFO     | Thread 6460  | daq                  | DAQ initializing     | 
2015.02.25 15:13:39.381 | CPU ?? RAM 39 | INFO     | Thread 6460  | daq                  | DAQ initializing     | 
2015.02.25 15:13:39.381 | CPU ?? RAM 39 | INFO     | Thread 7804  | daq                  | DAQ initializing     | 
2015.02.25 15:13:39.713 | CPU ?? RAM 39 | INFO     | Thread 7972  | MicroHR              | MicroHR initializing | 
2015.02.25 15:13:39.736 | CPU ?? RAM 39 | INFO     | Thread 6376  | PyCMDS_ui            | Startup              | PyCMDS MainWindow __init__ finished
2015.02.25 15:17:33.207 | CPU 13 RAM 39 | INFO     | Thread 6376  | PyCMDS_ui            | Shutdown             | PyCMDS is attempting shutdown
2015.02.25 15:17:33.211 | CPU 13 RAM 39 | INFO     | Thread 6376  | InGaAs               | InGaAs shutdown      | 
2015.02.25 15:17:33.260 | CPU 13 RAM 39 | INFO     | Thread 6376  | daq                  | DAQ shutdown         | 
2015.02.25 15:17:33.296 | CPU 13 RAM 39 | INFO     | Thread 6376  | MicroHR              | MicroHR shutdown     | 
