2015.02.25 09:40:51.828 | CPU ?? RAM 34 | INFO     | Thread 3144  | project_globals      | Debug                | PyCMDS is in debug mode
2015.02.25 09:40:51.829 | CPU ?? RAM 34 | INFO     | Thread 3144  | PyCMDS_ui            | Startup              | PyCMDS is attempting startup
2015.02.25 09:40:52.805 | CPU ?? RAM 35 | INFO     | Thread 3496  | daq                  | DAQ initializing     | 
2015.02.25 09:40:52.805 | CPU ?? RAM 35 | INFO     | Thread 3496  | daq                  | DAQ initializing     | 
2015.02.25 09:40:52.805 | CPU ?? RAM 35 | INFO     | Thread 7408  | daq                  | DAQ initializing     | 
2015.02.25 09:40:53.874 | CPU ?? RAM 35 | INFO     | Thread 6452  | MicroHR              | MicroHR initializing | 
2015.02.25 09:40:53.877 | CPU ?? RAM 35 | INFO     | Thread 3144  | PyCMDS_ui            | Startup              | PyCMDS MainWindow __init__ finished
2015.02.25 09:40:55.259 | CPU ?? RAM 35 | INFO     | Thread 3144  | PyCMDS_ui            | Shutdown             | PyCMDS is attempting shutdown
2015.02.25 09:40:55.263 | CPU ?? RAM 35 | INFO     | Thread 3144  | InGaAs               | InGaAs shutdown      | 
2015.02.25 09:40:55.269 | CPU ?? RAM 35 | INFO     | Thread 3144  | daq                  | DAQ shutdown         | 
2015.02.25 09:40:55.302 | CPU ?? RAM 35 | INFO     | Thread 3144  | MicroHR              | OPAs shutdown        | 
