2015.02.25 16:43:25.535 | CPU ?? RAM 37 | INFO     | Thread 908   | project_globals      | Debug                | PyCMDS is in debug mode
2015.02.25 16:43:25.536 | CPU ?? RAM 37 | INFO     | Thread 908   | PyCMDS_ui            | Startup              | PyCMDS is attempting startup
2015.02.25 16:43:26.845 | CPU ?? RAM 38 | INFO     | Thread 7912  | daq                  | DAQ initializing     | 
2015.02.25 16:43:26.851 | CPU ?? RAM 38 | INFO     | Thread 908   | MicroHR              | MicroHR initializing | PyCMDS MainWindow __init__ finished
2015.02.25 16:43:26.851 | CPU ?? RAM 38 | INFO     | Thread 908   | MicroHR              | MicroHR initializing | PyCMDS MainWindow __init__ finished
2015.02.25 16:43:26.849 | CPU ?? RAM 38 | INFO     | Thread 7140  | MicroHR              | MicroHR initializing | 
2015.02.25 16:43:26.851 | CPU ?? RAM 38 | INFO     | Thread 908   | MicroHR              | MicroHR initializing | PyCMDS MainWindow __init__ finished
2015.02.25 16:43:26.849 | CPU ?? RAM 38 | INFO     | Thread 7140  | MicroHR              | MicroHR initializing | 
2015.02.25 16:43:26.851 | CPU ?? RAM 38 | INFO     | Thread 8160  | MicroHR              | MicroHR initializing | 
2015.02.25 16:43:42.279 | CPU 29 RAM 38 | INFO     | Thread 908   | PyCMDS_ui            | Shutdown             | PyCMDS is attempting shutdown
2015.02.25 16:43:42.282 | CPU 29 RAM 38 | INFO     | Thread 908   | InGaAs               | InGaAs shutdown      | 
2015.02.25 16:43:42.321 | CPU 29 RAM 38 | INFO     | Thread 908   | daq                  | DAQ shutdown         | 
2015.02.25 16:43:42.331 | CPU 29 RAM 38 | INFO     | Thread 908   | MicroHR              | MicroHR shutdown     | 
