2015.02.25 12:55:52.763 | CPU ?? RAM 35 | INFO     | Thread 7224  | project_globals      | Debug                | PyCMDS is in debug mode
2015.02.25 12:55:52.766 | CPU ?? RAM 35 | INFO     | Thread 7224  | PyCMDS_ui            | Startup              | PyCMDS is attempting startup
2015.02.25 12:55:53.676 | CPU ?? RAM 35 | INFO     | Thread 6604  | daq                  | DAQ initializing     | 
2015.02.25 12:55:53.676 | CPU ?? RAM 35 | INFO     | Thread 6604  | daq                  | DAQ initializing     | 
2015.02.25 12:55:53.676 | CPU ?? RAM 35 | INFO     | Thread 5388  | daq                  | DAQ initializing     | 
2015.02.25 12:55:53.996 | CPU ?? RAM 36 | INFO     | Thread 5364  | MicroHR              | MicroHR initializing | 
2015.02.25 12:55:54.016 | CPU ?? RAM 36 | INFO     | Thread 7224  | PyCMDS_ui            | Startup              | PyCMDS MainWindow __init__ finished
2015.02.25 12:56:22.375 | CPU 10 RAM 36 | INFO     | Thread 7224  | PyCMDS_ui            | Shutdown             | PyCMDS is attempting shutdown
2015.02.25 12:56:22.381 | CPU 10 RAM 36 | INFO     | Thread 7224  | InGaAs               | InGaAs shutdown      | 
2015.02.25 12:56:22.388 | CPU 10 RAM 36 | INFO     | Thread 7224  | daq                  | DAQ shutdown         | 
2015.02.25 12:56:22.427 | CPU 10 RAM 36 | INFO     | Thread 7224  | MicroHR              | MicroHR shutdown     | 
