2015.02.26 10:47:48.831 | CPU ?? RAM 41 | INFO     | Thread 6316  | project_globals      | Debug                | PyCMDS is in debug mode
2015.02.26 10:47:48.832 | CPU ?? RAM 41 | INFO     | Thread 6316  | PyCMDS_ui            | Startup              | PyCMDS is attempting startup
2015.02.26 10:47:49.927 | CPU ?? RAM 42 | INFO     | Thread 4120  | InGaAs               | InGaAs initializing  | 
2015.02.26 10:47:49.927 | CPU ?? RAM 42 | INFO     | Thread 4120  | InGaAs               | InGaAs initializing  | 
2015.02.26 10:47:49.936 | CPU ?? RAM 42 | INFO     | Thread 4920  | daq                  | DAQ initializing     | 
2015.02.26 10:47:50.349 | CPU ?? RAM 42 | INFO     | Thread 6316  | PyCMDS_ui            | Startup              | PyCMDS MainWindow __init__ finished
2015.02.26 10:47:50.397 | CPU ?? RAM 42 | INFO     | Thread 6052  | MicroHR              | MicroHR initializing | 
2015.02.26 10:49:29.825 | CPU 58 RAM 39 | INFO     | Thread 6316  | PyCMDS_ui            | Shutdown             | PyCMDS is attempting shutdown
2015.02.26 10:49:29.831 | CPU 58 RAM 39 | INFO     | Thread 6316  | InGaAs               | InGaAs shutdown      | 
2015.02.26 10:49:29.907 | CPU 58 RAM 39 | INFO     | Thread 6316  | daq                  | DAQ shutdown         | 
2015.02.26 10:49:29.917 | CPU 58 RAM 39 | INFO     | Thread 6316  | MicroHR              | MicroHR shutdown     | 
