2015.02.25 12:33:14.769 | CPU ?? RAM 35 | INFO     | Thread 6880  | project_globals      | Debug                | PyCMDS is in debug mode
2015.02.25 12:33:14.770 | CPU ?? RAM 35 | INFO     | Thread 6880  | PyCMDS_ui            | Startup              | PyCMDS is attempting startup
2015.02.25 12:33:15.691 | CPU ?? RAM 35 | INFO     | Thread 6908  | daq                  | DAQ initializing     | 
2015.02.25 12:33:15.691 | CPU ?? RAM 35 | INFO     | Thread 6908  | daq                  | DAQ initializing     | 
2015.02.25 12:33:15.691 | CPU ?? RAM 35 | INFO     | Thread 3388  | daq                  | DAQ initializing     | 
2015.02.25 12:33:16.002 | CPU ?? RAM 35 | INFO     | Thread 7820  | MicroHR              | MicroHR initializing | 
2015.02.25 12:33:16.016 | CPU ?? RAM 35 | INFO     | Thread 6880  | PyCMDS_ui            | Startup              | PyCMDS MainWindow __init__ finished
2015.02.25 12:33:19.645 | CPU ?? RAM 36 | INFO     | Thread 6880  | PyCMDS_ui            | Shutdown             | PyCMDS is attempting shutdown
2015.02.25 12:33:19.650 | CPU ?? RAM 36 | INFO     | Thread 6880  | InGaAs               | InGaAs shutdown      | 
2015.02.25 12:33:19.654 | CPU ?? RAM 36 | INFO     | Thread 6880  | daq                  | DAQ shutdown         | 
2015.02.25 12:33:19.687 | CPU ?? RAM 36 | INFO     | Thread 6880  | MicroHR              | MicroHR shutdown     | 
