2015.02.25 12:01:21.861 | CPU ?? RAM 35 | INFO     | Thread 6740  | project_globals      | Debug                | PyCMDS is in debug mode
2015.02.25 12:01:21.864 | CPU ?? RAM 35 | INFO     | Thread 6740  | PyCMDS_ui            | Startup              | PyCMDS is attempting startup
2015.02.25 12:01:22.812 | CPU ?? RAM 36 | INFO     | Thread 8116  | InGaAs               | InGaAs initializing  | 
2015.02.25 12:01:22.812 | CPU ?? RAM 36 | INFO     | Thread 8116  | InGaAs               | InGaAs initializing  | 
2015.02.25 12:01:22.812 | CPU ?? RAM 36 | INFO     | Thread 3332  | daq                  | DAQ initializing     | 
2015.02.25 12:01:23.132 | CPU ?? RAM 36 | INFO     | Thread 7556  | MicroHR              | MicroHR initializing | 
2015.02.25 12:01:23.144 | CPU ?? RAM 36 | INFO     | Thread 6740  | PyCMDS_ui            | Startup              | PyCMDS MainWindow __init__ finished
2015.02.25 12:01:32.664 | CPU ?? RAM 36 | INFO     | Thread 6740  | PyCMDS_ui            | Shutdown             | PyCMDS is attempting shutdown
2015.02.25 12:01:32.667 | CPU ?? RAM 36 | INFO     | Thread 6740  | InGaAs               | InGaAs shutdown      | 
2015.02.25 12:01:32.674 | CPU ?? RAM 36 | INFO     | Thread 6740  | daq                  | DAQ shutdown         | 
2015.02.25 12:01:32.713 | CPU ?? RAM 36 | INFO     | Thread 6740  | MicroHR              | MicroHR shutdown     | 
