2015.02.27 16:39:31.653 | CPU ?? RAM 43 | INFO     | Thread 7300  | project_globals      | Debug                | PyCMDS is in debug mode
2015.02.27 16:39:31.654 | CPU ?? RAM 43 | INFO     | Thread 7300  | PyCMDS_ui            | Startup              | PyCMDS is attempting startup
2015.02.27 16:39:32.670 | CPU ?? RAM 44 | INFO     | Thread 2464  | daq                  | DAQ initializing     | 
2015.02.27 16:39:32.670 | CPU ?? RAM 44 | INFO     | Thread 2464  | daq                  | DAQ initializing     | 
2015.02.27 16:39:32.670 | CPU ?? RAM 44 | INFO     | Thread 6352  | daq                  | DAQ initializing     | 
2015.02.27 16:39:32.773 | CPU ?? RAM 44 | INFO     | Thread 7300  | PyCMDS_ui            | Startup              | PyCMDS MainWindow __init__ finished
2015.02.27 16:39:32.808 | CPU ?? RAM 44 | INFO     | Thread 3464  | delays               | MicroHR initializing | 
2015.02.27 16:39:32.808 | CPU ?? RAM 44 | INFO     | Thread 3464  | delays               | MicroHR initializing | 
2015.02.27 16:39:32.808 | CPU ?? RAM 44 | INFO     | Thread 5540  | delays               | MicroHR initializing | 
2015.02.27 16:39:32.808 | CPU ?? RAM 44 | INFO     | Thread 5540  | delays               | MicroHR initializing | 
2015.02.27 16:41:07.848 | CPU 02 RAM 44 | WARNING  | Thread 7300  | daq                  | DAQ dait until done timed out | timeout set to 10 seconds
