2015.02.25 12:08:52.260 | CPU ?? RAM 36 | INFO     | Thread 2028  | project_globals      | Debug                | PyCMDS is in debug mode
2015.02.25 12:08:52.263 | CPU ?? RAM 36 | INFO     | Thread 2028  | PyCMDS_ui            | Startup              | PyCMDS is attempting startup
2015.02.25 12:08:53.184 | CPU ?? RAM 37 | INFO     | Thread 4488  | InGaAs               | InGaAs initializing  | 
2015.02.25 12:08:53.184 | CPU ?? RAM 37 | INFO     | Thread 4488  | InGaAs               | InGaAs initializing  | 
2015.02.25 12:08:53.186 | CPU ?? RAM 37 | INFO     | Thread 4992  | daq                  | DAQ initializing     | 
2015.02.25 12:08:53.499 | CPU ?? RAM 37 | INFO     | Thread 7804  | MicroHR              | MicroHR initializing | 
2015.02.25 12:08:53.516 | CPU ?? RAM 37 | INFO     | Thread 2028  | PyCMDS_ui            | Startup              | PyCMDS MainWindow __init__ finished
2015.02.25 12:09:05.038 | CPU 47 RAM 37 | INFO     | Thread 2028  | PyCMDS_ui            | Shutdown             | PyCMDS is attempting shutdown
2015.02.25 12:09:05.042 | CPU 47 RAM 37 | INFO     | Thread 2028  | InGaAs               | InGaAs shutdown      | 
2015.02.25 12:09:05.052 | CPU 47 RAM 37 | INFO     | Thread 2028  | daq                  | DAQ shutdown         | 
2015.02.25 12:09:05.085 | CPU 47 RAM 37 | INFO     | Thread 2028  | MicroHR              | MicroHR shutdown     | 
