2015.02.25 12:31:44.523 | CPU ?? RAM 35 | INFO     | Thread 108   | project_globals      | Debug                | PyCMDS is in debug mode
2015.02.25 12:31:44.525 | CPU ?? RAM 35 | INFO     | Thread 108   | PyCMDS_ui            | Startup              | PyCMDS is attempting startup
2015.02.25 12:31:45.433 | CPU ?? RAM 35 | INFO     | Thread 7544  | daq                  | DAQ initializing     | 
2015.02.25 12:31:45.506 | CPU ?? RAM 35 | INFO     | Thread 2452  | InGaAs               | InGaAs initializing  | 
2015.02.25 12:31:45.877 | CPU ?? RAM 35 | INFO     | Thread 7672  | MicroHR              | MicroHR initializing | 
2015.02.25 12:31:45.885 | CPU ?? RAM 35 | INFO     | Thread 108   | PyCMDS_ui            | Startup              | PyCMDS MainWindow __init__ finished
2015.02.25 12:31:57.895 | CPU 16 RAM 36 | INFO     | Thread 108   | PyCMDS_ui            | Shutdown             | PyCMDS is attempting shutdown
2015.02.25 12:31:57.900 | CPU 16 RAM 36 | INFO     | Thread 108   | InGaAs               | InGaAs shutdown      | 
2015.02.25 12:31:57.907 | CPU 16 RAM 36 | INFO     | Thread 108   | daq                  | DAQ shutdown         | 
2015.02.25 12:31:57.944 | CPU 16 RAM 36 | INFO     | Thread 108   | MicroHR              | MicroHR shutdown     | 
