2015.02.25 09:40:24.476 | CPU ?? RAM 34 | INFO     | Thread 7192  | project_globals      | Debug                | PyCMDS is in debug mode
2015.02.25 09:40:24.479 | CPU ?? RAM 34 | INFO     | Thread 7192  | PyCMDS_ui            | Startup              | PyCMDS is attempting startup
2015.02.25 09:40:25.405 | CPU ?? RAM 35 | INFO     | Thread 7996  | daq                  | DAQ initializing     | 
2015.02.25 09:40:25.405 | CPU ?? RAM 35 | INFO     | Thread 7996  | daq                  | DAQ initializing     | 
2015.02.25 09:40:25.407 | CPU ?? RAM 35 | INFO     | Thread 7628  | daq                  | DAQ initializing     | 
2015.02.25 09:40:25.759 | CPU ?? RAM 35 | INFO     | Thread 7264  | MicroHR              | MicroHR initializing | 
2015.02.25 09:40:25.773 | CPU ?? RAM 35 | INFO     | Thread 7192  | PyCMDS_ui            | Startup              | PyCMDS MainWindow __init__ finished
2015.02.25 09:40:26.903 | CPU ?? RAM 35 | INFO     | Thread 7192  | PyCMDS_ui            | Shutdown             | PyCMDS is attempting shutdown
2015.02.25 09:40:26.905 | CPU ?? RAM 35 | INFO     | Thread 7192  | InGaAs               | InGaAs shutdown      | 
2015.02.25 09:40:26.911 | CPU ?? RAM 35 | INFO     | Thread 7192  | MicroHR              | OPAs shutdown        | 
2015.02.25 09:40:26.914 | CPU ?? RAM 35 | INFO     | Thread 7192  | daq                  | DAQ shutdown         | 
