2015.02.25 11:20:18.450 | CPU ?? RAM 39 | INFO     | Thread 6708  | project_globals      | Debug                | PyCMDS is in debug mode
2015.02.25 11:20:18.453 | CPU ?? RAM 39 | INFO     | Thread 6708  | PyCMDS_ui            | Startup              | PyCMDS is attempting startup
2015.02.25 11:20:19.367 | CPU ?? RAM 39 | INFO     | Thread 2548  | daq                  | DAQ initializing     | 
2015.02.25 11:20:19.367 | CPU ?? RAM 39 | INFO     | Thread 2548  | daq                  | DAQ initializing     | 
2015.02.25 11:20:19.367 | CPU ?? RAM 39 | INFO     | Thread 8084  | daq                  | DAQ initializing     | 
2015.02.25 11:20:19.720 | CPU ?? RAM 39 | INFO     | Thread 6860  | MicroHR              | MicroHR initializing | 
2015.02.25 11:20:19.736 | CPU ?? RAM 39 | INFO     | Thread 6708  | PyCMDS_ui            | Startup              | PyCMDS MainWindow __init__ finished
2015.02.25 11:21:17.805 | CPU 43 RAM 39 | INFO     | Thread 6708  | PyCMDS_ui            | Shutdown             | PyCMDS is attempting shutdown
2015.02.25 11:21:17.809 | CPU 43 RAM 39 | INFO     | Thread 6708  | InGaAs               | InGaAs shutdown      | 
2015.02.25 11:21:17.832 | CPU 43 RAM 39 | INFO     | Thread 6708  | daq                  | DAQ shutdown         | 
2015.02.25 11:21:17.865 | CPU 43 RAM 39 | INFO     | Thread 6708  | MicroHR              | MicroHR shutdown     | 
