2015.02.25 12:54:24.125 | CPU ?? RAM 35 | INFO     | Thread 3420  | project_globals      | Debug                | PyCMDS is in debug mode
2015.02.25 12:54:24.125 | CPU ?? RAM 35 | INFO     | Thread 3420  | PyCMDS_ui            | Startup              | PyCMDS is attempting startup
2015.02.25 12:54:25.043 | CPU ?? RAM 35 | INFO     | Thread 7264  | daq                  | DAQ initializing     | 
2015.02.25 12:54:25.043 | CPU ?? RAM 35 | INFO     | Thread 7264  | daq                  | DAQ initializing     | 
2015.02.25 12:54:25.043 | CPU ?? RAM 35 | INFO     | Thread 6660  | daq                  | DAQ initializing     | 
2015.02.25 12:54:25.380 | CPU ?? RAM 36 | INFO     | Thread 7492  | MicroHR              | MicroHR initializing | 
2015.02.25 12:54:25.403 | CPU ?? RAM 36 | INFO     | Thread 3420  | PyCMDS_ui            | Startup              | PyCMDS MainWindow __init__ finished
2015.02.25 12:54:30.857 | CPU ?? RAM 36 | INFO     | Thread 3420  | PyCMDS_ui            | Shutdown             | PyCMDS is attempting shutdown
2015.02.25 12:54:30.861 | CPU ?? RAM 36 | INFO     | Thread 3420  | InGaAs               | InGaAs shutdown      | 
2015.02.25 12:54:30.869 | CPU ?? RAM 36 | INFO     | Thread 3420  | daq                  | DAQ shutdown         | 
2015.02.25 12:54:30.908 | CPU ?? RAM 36 | INFO     | Thread 3420  | MicroHR              | MicroHR shutdown     | 
