2015.02.25 12:06:27.569 | CPU ?? RAM 35 | INFO     | Thread 5360  | project_globals      | Debug                | PyCMDS is in debug mode
2015.02.25 12:06:27.572 | CPU ?? RAM 35 | INFO     | Thread 5360  | PyCMDS_ui            | Startup              | PyCMDS is attempting startup
2015.02.25 12:06:28.494 | CPU ?? RAM 36 | INFO     | Thread 5716  | InGaAs               | InGaAs initializing  | 
2015.02.25 12:06:28.494 | CPU ?? RAM 36 | INFO     | Thread 5716  | InGaAs               | InGaAs initializing  | 
2015.02.25 12:06:28.494 | CPU ?? RAM 36 | INFO     | Thread 7200  | daq                  | DAQ initializing     | 
2015.02.25 12:06:28.920 | CPU ?? RAM 36 | INFO     | Thread 5360  | PyCMDS_ui            | Startup              | PyCMDS MainWindow __init__ finished
2015.02.25 12:06:28.920 | CPU ?? RAM 36 | INFO     | Thread 5360  | PyCMDS_ui            | Startup              | PyCMDS MainWindow __init__ finished
2015.02.25 12:06:28.924 | CPU ?? RAM 36 | INFO     | Thread 6600  | MicroHR              | MicroHR initializing | 
2015.02.25 12:07:25.329 | CPU 44 RAM 36 | INFO     | Thread 5360  | PyCMDS_ui            | Shutdown             | PyCMDS is attempting shutdown
2015.02.25 12:07:25.339 | CPU 44 RAM 36 | INFO     | Thread 5360  | InGaAs               | InGaAs shutdown      | 
2015.02.25 12:07:25.345 | CPU 44 RAM 36 | INFO     | Thread 5360  | daq                  | DAQ shutdown         | 
2015.02.25 12:07:25.378 | CPU 44 RAM 36 | INFO     | Thread 5360  | MicroHR              | MicroHR shutdown     | 
