2015.02.25 16:43:43.183 | CPU ?? RAM 37 | INFO     | Thread 1964  | project_globals      | Debug                | PyCMDS is in debug mode
2015.02.25 16:43:43.184 | CPU ?? RAM 37 | INFO     | Thread 1964  | PyCMDS_ui            | Startup              | PyCMDS is attempting startup
2015.02.25 16:43:44.196 | CPU ?? RAM 38 | INFO     | Thread 6768  | daq                  | DAQ initializing     | 
2015.02.25 16:43:44.196 | CPU ?? RAM 38 | INFO     | Thread 6768  | daq                  | DAQ initializing     | 
2015.02.25 16:43:44.196 | CPU ?? RAM 38 | INFO     | Thread 5752  | daq                  | DAQ initializing     | 
2015.02.25 16:43:44.368 | CPU ?? RAM 38 | INFO     | Thread 1964  | PyCMDS_ui            | Startup              | PyCMDS MainWindow __init__ finished
2015.02.25 16:43:44.653 | CPU ?? RAM 38 | INFO     | Thread 6948  | MicroHR              | MicroHR initializing | 
2015.02.25 16:44:26.667 | CPU 08 RAM 38 | INFO     | Thread 720   | template             | Scan begun           | some info describing this scan
2015.02.25 16:44:36.671 | CPU 47 RAM 38 | WARNING  | Thread 720   | MicroHR              | Wait until done timed out | timeout set to 10 seconds
2015.02.25 16:44:46.677 | CPU 09 RAM 38 | WARNING  | Thread 720   | MicroHR              | Wait until done timed out | timeout set to 10 seconds
2015.02.25 16:44:56.687 | CPU 42 RAM 38 | WARNING  | Thread 720   | MicroHR              | Wait until done timed out | timeout set to 10 seconds
2015.02.25 16:45:06.723 | CPU 42 RAM 38 | WARNING  | Thread 720   | MicroHR              | Wait until done timed out | timeout set to 10 seconds
2015.02.25 16:45:18.315 | CPU 10 RAM 38 | WARNING  | Thread 720   | MicroHR              | Wait until done timed out | timeout set to 10 seconds
2015.02.25 16:45:18.322 | CPU 10 RAM 38 | INFO     | Thread 720   | template             | Scan done            | some info describing this scan
2015.02.25 16:54:09.486 | CPU 14 RAM 38 | INFO     | Thread 1964  | PyCMDS_ui            | Shutdown             | PyCMDS is attempting shutdown
2015.02.25 16:54:09.490 | CPU 14 RAM 38 | INFO     | Thread 1964  | InGaAs               | InGaAs shutdown      | 
2015.02.25 16:54:09.532 | CPU 14 RAM 38 | INFO     | Thread 1964  | daq                  | DAQ shutdown         | 
2015.02.25 16:54:09.542 | CPU 14 RAM 38 | INFO     | Thread 1964  | MicroHR              | MicroHR shutdown     | 
2015.02.25 16:54:19.549 | CPU 14 RAM 38 | WARNING  | Thread 1964  | MicroHR              | Wait until done timed out | timeout set to 10 seconds
